City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Mae Hong Son,TH,19.3003,97.9685,77.68,80,40,1.59,scattered clouds
172,Abu Kamal,SY,34.4506,40.9171,93.81,14,65,17.96,broken clouds
173,Maceio,BR,-9.6658,-35.7353,83.64,69,75,10.36,broken clouds
174,Vardo,NO,70.3705,31.1107,39.18,87,75,8.05,broken clouds
175,Faanui,PF,-16.4833,-151.75,80.29,63,21,6.78,few clouds
176,Baleshwar,IN,21.4942,86.9317,86.86,67,63,20.8,broken clouds
177,Hasaki,JP,35.7333,140.8333,59.29,81,100,10.47,light rain
178,Moscow,RU,55.7522,37.6156,55.83,57,89,9.26,light rain
179,Taltal,CL,-25.4,-70.4833,63.7,71,13,4.36,few clouds
180,Kapaa,US,22.0752,-159.319,75.52,93,75,13.8,broken clouds
181,Port Elizabeth,ZA,-33.918,25.5701,66.09,90,0,1.99,clear sky
182,Tacoronte,ES,28.4769,-16.4102,70.12,61,0,9.22,clear sky
183,Bubaque,GW,11.2833,-15.8333,79.88,79,89,17.34,overcast clouds
184,Sayyan,YE,15.1718,44.3244,68.34,12,4,8.5,clear sky
185,Pisco,PE,-13.7,-76.2167,64.45,82,100,5.75,mist
186,Balabagan,PH,7.5264,124.1142,77.77,84,100,3.47,overcast clouds
187,Sao Filipe,CV,14.8961,-24.4956,79.21,63,58,7.99,broken clouds
188,Wassenberg,DE,51.1,6.15,80.4,34,96,5.64,overcast clouds
189,Chimbote,PE,-9.0853,-78.5783,68.7,72,45,10.11,scattered clouds
190,Santa Helena De Goias,BR,-17.8136,-50.5969,86.52,41,20,4.18,few clouds
191,Buluang,PH,13.3068,123.3425,77.95,89,100,5.1,overcast clouds
192,Berlevag,NO,70.8578,29.0864,39.2,87,100,12.66,overcast clouds
193,Mnogovershinnyy,RU,53.9353,139.9242,29.21,96,100,8.12,light snow
194,Gorontalo,ID,0.5412,123.0595,77.41,95,79,1.3,broken clouds
195,Bandarbeyla,SO,9.4942,50.8122,82.69,83,10,25.68,clear sky
196,Beringovskiy,RU,63.05,179.3167,38.1,75,97,7.52,overcast clouds
197,Husavik,IS,66.0449,-17.3389,52.12,73,87,2.48,overcast clouds
198,Port Maria,JM,18.3685,-76.8895,88.05,81,90,14.16,overcast clouds
199,Canyon,US,34.9803,-101.9188,89.04,13,0,16.04,clear sky
200,Hobyo,SO,5.3505,48.5268,81.66,75,19,17.25,light rain
201,Hornepayne,CA,49.2138,-84.7705,63.25,38,16,15.35,few clouds
202,Waregem,BE,50.8811,3.4026,81.37,25,84,10.0,broken clouds
203,Derzhavinsk,KZ,51.1,66.3167,59.59,71,96,8.19,overcast clouds
204,Sawakin,SD,19.1059,37.3321,89.64,43,0,2.84,clear sky
205,Gat,IL,31.61,34.7642,69.82,1,0,6.71,clear sky
206,Hambantota,LK,6.1241,81.1185,80.04,83,90,14.56,overcast clouds
207,Luderitz,NA,-26.6481,15.1594,68.85,39,33,6.35,scattered clouds
208,Nanortalik,GL,60.1432,-45.2371,31.48,71,54,9.51,broken clouds
209,Oswego,US,43.4501,-76.1497,80.53,70,73,8.7,broken clouds
210,Ransang,PH,8.9603,117.5828,79.43,86,80,1.92,broken clouds
211,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,69.75,48,0,10.33,clear sky
212,Souillac,MU,-20.5167,57.5167,73.78,94,40,5.75,light rain
213,Ulaangom,MN,49.9811,92.0667,59.05,20,83,2.08,broken clouds
214,Cabo San Lucas,MX,22.8909,-109.9124,92.5,37,0,6.91,clear sky
215,Bereda,ES,43.2686,-7.5406,70.41,57,100,8.1,overcast clouds
216,Bambous Virieux,MU,-20.3428,57.7575,73.65,94,40,5.75,light rain
217,Rocha,UY,-34.4833,-54.3333,60.33,46,85,13.2,overcast clouds
218,Klaksvik,FO,62.2266,-6.589,50.92,89,100,10.29,overcast clouds
219,Provideniya,RU,64.3833,-173.3,35.19,74,51,8.41,broken clouds
220,Ampanihy,MG,-24.7,44.75,68.86,74,0,12.55,clear sky
221,Murray Bridge,AU,-35.1167,139.2667,58.12,81,29,7.02,scattered clouds
222,Kholmogory,RU,64.2229,41.656,56.71,61,90,9.51,overcast clouds
223,Bathsheba,BB,13.2167,-59.5167,84.81,74,75,21.85,broken clouds
224,Oda,JP,35.1833,132.5,54.32,81,98,3.29,overcast clouds
225,Paita,PE,-5.0892,-81.1144,71.24,71,89,11.88,overcast clouds
226,Coquimbo,CL,-29.9533,-71.3436,56.93,76,100,6.91,overcast clouds
227,Hilo,US,19.7297,-155.09,75.27,92,100,9.22,light rain
228,Tezu,IN,27.9167,96.1667,71.35,98,100,3.87,overcast clouds
229,Doha,QA,25.2867,51.5333,85.98,39,0,3.44,clear sky
230,Tilichiki,RU,60.4667,166.1,32.32,97,100,3.67,overcast clouds
231,Sobolevo,RU,54.4299,31.8996,48.54,75,70,7.38,broken clouds
232,Varhaug,NO,58.6147,5.6457,57.85,77,100,16.02,overcast clouds
233,Dingle,PH,10.9995,122.6711,77.45,86,95,0.58,overcast clouds
234,San Patricio,US,28.017,-97.5169,90.07,39,3,10.04,clear sky
235,Lavrentiya,RU,65.5833,-171.0,30.11,88,73,9.42,broken clouds
236,Ozinki,RU,51.1786,49.6769,51.57,88,79,7.25,broken clouds
237,Xiaoshan,CN,30.1675,120.2588,61.84,67,0,8.95,clear sky
238,Coleraine,GB,55.1333,-6.6667,64.31,81,58,14.65,broken clouds
239,Ferme-Neuve,CA,46.7001,-75.4493,72.45,74,100,7.9,moderate rain
240,Nakhon Si Thammarat,TH,8.25,100.0,78.06,93,99,4.18,overcast clouds
241,Durban,ZA,-29.8579,31.0292,69.03,89,5,1.99,clear sky
242,Moron,AR,-34.6534,-58.6198,59.95,39,1,12.84,clear sky
243,Marienburg,PL,54.0359,19.0266,60.87,73,16,7.47,few clouds
244,Xining,CN,36.6167,101.7667,37.72,79,83,1.3,broken clouds
245,Carlsbad,US,33.1581,-117.3506,93.56,50,0,6.91,clear sky
246,Haines Junction,CA,60.7522,-137.5108,40.95,70,92,4.61,overcast clouds
247,Pochutla,MX,15.7432,-96.4661,91.81,45,34,7.87,scattered clouds
248,Kenora,CA,49.8167,-94.4337,49.17,66,100,11.01,overcast clouds
249,Haapiti,PF,-17.5667,-149.8667,76.73,73,29,9.51,moderate rain
250,Karpogory,RU,64.0019,44.4451,55.65,64,39,9.84,scattered clouds
251,Ritchie,ZA,-29.038,24.6028,56.41,22,0,8.57,clear sky
252,Namibe,AO,-15.1961,12.1522,72.66,68,2,11.77,clear sky
253,Ati,TD,13.2154,18.3353,96.66,27,99,7.49,light rain
254,Whitehorse,CA,60.7161,-135.0538,41.09,68,20,13.8,few clouds
255,Hami,CN,42.8,93.45,70.92,6,44,10.0,scattered clouds
256,Copiapo,CL,-27.3667,-70.3333,58.69,29,0,5.28,clear sky
257,Denpasar,ID,-8.65,115.2167,80.26,88,20,3.44,few clouds
258,Bahia Blanca,AR,-38.7196,-62.2724,55.11,61,80,17.13,broken clouds
259,Lenger,KZ,42.183,69.8839,63.84,74,9,7.38,clear sky
260,Santa Maria,BR,-29.6842,-53.8069,57.29,97,98,8.84,overcast clouds
261,Barranca,PE,-10.75,-77.7667,67.37,69,61,8.61,broken clouds
262,Sault Sainte Marie,CA,46.5168,-84.3333,70.09,30,0,13.8,clear sky
263,Aklavik,CA,68.2191,-135.0107,28.4,86,100,5.75,overcast clouds
264,Sorland,NO,67.667,12.6934,42.66,81,98,24.76,overcast clouds
265,Qostanay,KZ,53.1667,63.5833,59.29,77,75,8.95,broken clouds
266,Tonantins,BR,-2.8731,-67.8022,79.48,93,100,3.38,moderate rain
267,Vanderhoof,CA,54.0166,-124.0198,50.23,68,94,6.06,overcast clouds
268,Valparaiso,CL,-33.0393,-71.6273,61.03,77,100,9.22,mist
269,Sitka,US,57.0531,-135.33,46.29,76,100,10.36,overcast clouds
270,Gemunden,DE,50.05,9.7,76.59,61,91,3.15,overcast clouds
271,Ojinaga,MX,29.5667,-104.4167,96.57,29,0,0.0,clear sky
272,Znamenskoye,RU,57.1281,73.8282,55.15,53,52,5.44,broken clouds
273,Kendari,ID,-3.945,122.4989,77.52,88,58,2.06,broken clouds
274,Bridgend,GB,51.5058,-3.5772,61.0,89,100,8.01,overcast clouds
275,Yarmouth,US,41.7057,-70.2286,75.67,82,40,9.22,scattered clouds
276,Daru,PG,-9.0763,143.2092,76.77,81,9,4.9,clear sky
277,Kaitangata,NZ,-46.2817,169.8464,41.86,94,11,3.11,few clouds
278,Mikuni,JP,36.2171,136.1519,51.71,74,100,3.76,overcast clouds
279,Kapoeta,SS,4.7717,33.5903,87.15,35,88,12.12,overcast clouds
280,Cockburn Town,TC,21.4612,-71.1419,79.25,80,81,19.8,broken clouds
281,Goderich,CA,43.7501,-81.7165,64.72,77,82,5.75,broken clouds
282,San Cristobal,VE,7.7669,-72.225,84.38,51,99,8.12,overcast clouds
283,Castro,BR,-24.7911,-50.0119,58.46,94,100,6.76,overcast clouds
284,Great Yarmouth,GB,52.6083,1.7305,62.46,83,100,13.69,overcast clouds
285,Lahij,YE,13.1667,44.5833,85.23,31,0,2.55,clear sky
286,Ahuimanu,US,21.4447,-157.8378,76.35,75,40,5.75,scattered clouds
287,Grand Gaube,MU,-20.0064,57.6608,73.8,81,21,4.0,few clouds
288,Imeni Poliny Osipenko,RU,52.4201,136.4853,36.03,95,100,12.48,light rain
289,Bilgi,IN,16.35,75.6167,84.45,55,100,21.09,overcast clouds
290,Caravelas,BR,-17.7125,-39.2481,79.93,55,73,7.49,broken clouds
291,Saint George,US,37.1041,-113.5841,85.78,12,0,1.99,clear sky
292,Cravo Norte,CO,6.3017,-70.2041,91.98,46,100,9.82,overcast clouds
293,Ismailia,EG,30.6043,32.2723,69.69,53,0,13.94,clear sky
294,Katangli,RU,51.7102,143.2326,31.33,92,96,6.89,overcast clouds
295,Saint-Augustin,CA,51.226,-58.6502,45.86,54,82,9.91,broken clouds
296,Nelson Bay,AU,-32.7167,152.15,66.0,98,35,12.57,scattered clouds
297,Guerrero Negro,MX,27.9769,-114.0611,72.0,51,32,11.3,scattered clouds
298,Kodiak,US,57.79,-152.4072,49.51,43,0,6.91,clear sky
299,Koulikoro,ML,14.0,-7.75,103.64,4,40,9.75,scattered clouds
300,Gwanda,ZW,-20.9333,29.0,67.68,59,82,12.5,broken clouds
301,Firovo,RU,57.4814,33.7021,48.4,67,93,9.78,overcast clouds
302,Clyde River,CA,70.4692,-68.5914,28.63,80,75,10.36,broken clouds
303,Alta Floresta,BR,-9.8756,-56.0861,94.82,49,40,4.61,scattered clouds
304,Mabaruma,GY,8.2,-59.7833,75.85,98,100,3.18,overcast clouds
305,Humaita,BR,-7.5061,-63.0208,89.8,60,99,2.98,overcast clouds
306,Homer,US,59.6425,-151.5483,47.77,60,0,8.05,clear sky
307,Yaan,NG,7.3833,8.5667,88.72,58,95,1.63,overcast clouds
308,Uong Bi,VN,21.0333,106.7833,69.78,85,100,4.9,overcast clouds
309,Kannur,IN,11.8675,75.3576,79.3,87,100,5.93,moderate rain
310,Portland,US,45.5234,-122.6762,65.75,78,100,3.44,overcast clouds
311,Porangatu,BR,-13.4408,-49.1486,93.2,31,41,4.72,scattered clouds
312,Cherkasskoye,RU,52.4333,47.2167,48.99,90,91,5.23,overcast clouds
313,Urubicha,BO,-15.3833,-62.95,81.37,61,42,4.99,scattered clouds
314,Quarai,BR,-30.3875,-56.4514,62.83,49,13,15.35,few clouds
315,Crib Point,AU,-38.35,145.2,58.64,71,53,19.95,broken clouds
316,Touros,BR,-5.1989,-35.4608,85.05,65,100,11.88,overcast clouds
