City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Chalus,IR,63.86,clear sky,36.655,51.4204,
372,Kigoma,TZ,76.15,scattered clouds,-4.8769,29.6267,
373,Kailua,US,76.64,broken clouds,21.4022,-157.7394,
374,Rancho Palos Verdes,US,82.51,broken clouds,33.7445,-118.387,
377,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,
378,Ribeira Grande,PT,61.2,light rain,38.5167,-28.7,
379,Sioux Lookout,CA,48.27,overcast clouds,50.1001,-91.917,
380,Chapais,CA,64.18,overcast clouds,49.7834,-74.8492,
381,Russkaya Polyana,UA,55.69,broken clouds,49.417,31.9201,
382,Fort Nelson,CA,47.79,scattered clouds,58.8053,-122.7002,
383,Neiba,DO,82.98,broken clouds,18.5,-71.4167,
384,Christchurch,NZ,51.94,overcast clouds,-43.5333,172.6333,
385,Luba,GQ,82.4,broken clouds,3.4568,8.5547,
386,Dabakala,CI,91.26,light rain,8.3667,-4.4333,
387,Slatina,RO,73.71,few clouds,44.4333,24.3667,
388,Leopold,AU,53.65,broken clouds,-38.1833,144.4667,
389,Nemuro,JP,43.25,clear sky,43.3236,145.575,
390,Bergama,TR,70.18,few clouds,39.1207,27.1805,
391,Saldus,LV,50.38,scattered clouds,56.6636,22.4881,
392,Kindu,CD,80.22,overcast clouds,-2.95,25.95,
393,Turka,UA,55.15,broken clouds,49.1541,23.0297,
394,Marzuq,YE,79.05,clear sky,14.4,46.4667,
395,Mitsamiouli,KM,80.87,light rain,-11.3847,43.2844,
396,Comodoro Rivadavia,AR,53.46,clear sky,-45.8667,-67.5,
397,Santa Engracia,ES,84.81,broken clouds,41.9406,-1.3245,
398,Maldonado,UY,58.39,broken clouds,-34.6667,-54.9167,
399,Baneh,IR,62.6,scattered clouds,35.9975,45.8853,
400,Umm Lajj,SA,87.31,clear sky,25.0213,37.2685,
401,Wilmington,US,84.97,few clouds,34.2257,-77.9447,
402,Kasempa,ZM,61.29,few clouds,-13.4584,25.8338,
403,Gaya,IN,93.11,haze,24.7833,85.0,
404,Vanavara,RU,52.52,broken clouds,60.34,102.2797,
405,Byron Bay,AU,70.72,few clouds,-28.65,153.6167,
406,Gold Coast,AU,72.0,clear sky,-28.0,153.4333,
407,Ostrovnoy,RU,37.18,broken clouds,68.0531,39.5131,
408,Valle Nacional,MX,92.48,few clouds,17.7833,-96.3167,
409,Bonthe,SL,85.44,overcast clouds,7.5264,-12.505,
410,Hope,US,87.98,few clouds,33.6671,-93.5916,
411,Petilia Policastro,IT,73.29,few clouds,39.1139,16.7855,
412,Dali,CN,59.11,broken clouds,25.7,100.1833,
413,Yulara,AU,58.05,clear sky,-25.2406,130.9889,
414,Namie,JP,53.71,overcast clouds,37.4833,141.0,
415,Constantine,DZ,83.61,scattered clouds,36.365,6.6147,
416,Ambovombe,MG,70.93,clear sky,-25.1667,46.0833,
417,Ust-Ishim,RU,56.34,overcast clouds,57.6935,71.1665,
418,Cotacachi,EC,69.35,light rain,0.3,-78.2667,
420,Bahia Honda,CU,84.06,few clouds,22.9036,-83.1592,
421,Buraydah,SA,91.85,clear sky,26.326,43.975,
422,Vung Tau,VN,84.24,broken clouds,10.346,107.0843,
423,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,
424,Luanda,AO,77.56,clear sky,-8.8368,13.2343,
425,Ialibu,PG,55.65,overcast clouds,-6.2821,143.9935,
426,Canavieiras,BR,75.16,overcast clouds,-15.675,-38.9472,
427,Sedalia,US,62.51,overcast clouds,38.7045,-93.2283,
428,Havre-Saint-Pierre,CA,44.96,clear sky,50.2334,-63.5986,
429,Matara,LK,78.62,overcast clouds,5.9485,80.5353,
430,Victor Harbor,AU,57.0,light rain,-35.5667,138.6167,
432,Petropavlovsk-Kamchatskiy,RU,36.19,light intensity shower rain,53.0452,158.6483,
434,Stavern,NO,65.32,scattered clouds,59.0,10.0333,
435,Ulaanbaatar,MN,35.73,clear sky,47.9077,106.8832,
436,Luganville,VU,77.49,overcast clouds,-15.5333,167.1667,
437,Karla,EE,49.96,clear sky,59.3723,24.9275,
438,Olafsvik,IS,46.71,overcast clouds,64.8945,-23.7142,
439,Senanga,ZM,69.84,scattered clouds,-16.1167,23.2667,
440,Morant Bay,JM,88.72,overcast clouds,17.8815,-76.4093,
441,Fukue,JP,61.68,overcast clouds,32.6881,128.8419,
442,Talnakh,RU,36.73,overcast clouds,69.4865,88.3972,
443,Quang Ngai,VN,76.71,overcast clouds,15.1167,108.8,
445,Port Augusta,AU,55.67,clear sky,-32.5,137.7667,
446,Anchorage,US,45.55,clear sky,61.2181,-149.9003,
447,Mount Pleasant,US,87.98,few clouds,32.7941,-79.8626,
448,Kollam,IN,78.53,moderate rain,8.8833,76.6,
450,Asosa,ET,63.72,overcast clouds,10.0667,34.5333,
451,Labuan,MY,80.96,few clouds,5.2767,115.2417,
452,Escanaba,US,68.97,few clouds,45.7453,-87.0646,
453,Lata,PT,71.89,overcast clouds,40.1629,-8.3327,
454,Kuliyapitiya,LK,78.48,broken clouds,7.4688,80.0401,
455,Mehtar Lam,AF,81.61,few clouds,34.6714,70.2094,
456,Pietersburg,ZA,59.85,clear sky,-23.9045,29.4688,
457,Promyshlennyy,RU,46.38,overcast clouds,67.5833,63.9167,
458,Bisira,PA,69.64,broken clouds,8.5196,-81.7115,
460,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,
461,Semiluki,RU,52.25,clear sky,51.6853,39.0279,
462,Kencong,ID,77.49,broken clouds,-8.2833,113.3667,
463,Olot,ES,81.54,clear sky,42.181,2.4901,
464,Vaitape,PF,80.33,few clouds,-16.5167,-151.75,
465,Turkmenabat,TM,75.18,clear sky,39.0733,63.5786,
467,Sydney,AU,60.39,few clouds,-33.8679,151.2073,
468,Malanje,AO,70.11,few clouds,-9.5402,16.341,
469,Kokkola,FI,51.96,clear sky,63.8385,23.1307,
471,Mitu,CO,84.11,overcast clouds,1.1983,-70.1733,
